frame_index,timestamp,desk_id,worker_id,state
25,09:05:39,1,W001,THINKING
25,09:05:39,2,W002,THINKING
25,09:05:39,3,W003,THINKING
25,09:05:39,4,W004,THINKING
25,09:05:39,5,W005,INITIALIZING
25,09:05:39,6,W006,THINKING
26,09:05:39,1,W001,THINKING
26,09:05:39,2,W002,THINKING
26,09:05:39,3,W003,THINKING
26,09:05:39,4,W004,THINKING
26,09:05:39,5,W005,INITIALIZING
26,09:05:39,6,W006,THINKING
27,09:05:39,1,W001,THINKING
27,09:05:39,2,W002,THINKING
27,09:05:39,3,W003,THINKING
27,09:05:39,4,W004,THINKING
27,09:05:39,5,W005,INITIALIZING
27,09:05:39,6,W006,THINKING
28,09:05:39,1,W001,THINKING
28,09:05:39,2,W002,THINKING
28,09:05:39,3,W003,THINKING
28,09:05:39,4,W004,THINKING
28,09:05:39,5,W005,INITIALIZING
28,09:05:39,6,W006,THINKING
29,09:05:39,1,W001,THINKING
29,09:05:39,2,W002,THINKING
29,09:05:39,3,W003,THINKING
29,09:05:39,4,W004,THINKING
29,09:05:39,5,W005,INITIALIZING
29,09:05:39,6,W006,THINKING
30,09:05:39,1,W001,THINKING
30,09:05:39,2,W002,THINKING
30,09:05:39,3,W003,THINKING
30,09:05:39,4,W004,THINKING
30,09:05:39,5,W005,INITIALIZING
30,09:05:39,6,W006,THINKING
31,09:05:39,1,W001,THINKING
31,09:05:39,2,W002,THINKING
31,09:05:39,3,W003,THINKING
31,09:05:39,4,W004,THINKING
31,09:05:39,5,W005,INITIALIZING
31,09:05:39,6,W006,THINKING
32,09:05:39,1,W001,THINKING
32,09:05:39,2,W002,THINKING
32,09:05:39,3,W003,THINKING
32,09:05:39,4,W004,THINKING
32,09:05:39,5,W005,INITIALIZING
32,09:05:39,6,W006,THINKING
33,09:05:39,1,W001,THINKING
33,09:05:39,2,W002,THINKING
33,09:05:39,3,W003,THINKING
33,09:05:39,4,W004,THINKING
33,09:05:39,5,W005,INITIALIZING
33,09:05:39,6,W006,THINKING
34,09:05:39,1,W001,THINKING
34,09:05:39,2,W002,THINKING
34,09:05:39,3,W003,THINKING
34,09:05:39,4,W004,THINKING
34,09:05:39,5,W005,INITIALIZING
34,09:05:39,6,W006,THINKING
35,09:05:39,1,W001,THINKING
35,09:05:39,2,W002,THINKING
35,09:05:39,3,W003,THINKING
35,09:05:39,4,W004,THINKING
35,09:05:39,5,W005,INITIALIZING
35,09:05:39,6,W006,THINKING
36,09:05:39,1,W001,THINKING
36,09:05:39,2,W002,THINKING
36,09:05:39,3,W003,THINKING
36,09:05:39,4,W004,THINKING
36,09:05:39,5,W005,INITIALIZING
36,09:05:39,6,W006,THINKING
37,09:05:39,1,W001,THINKING
37,09:05:39,2,W002,THINKING
37,09:05:39,3,W003,THINKING
37,09:05:39,4,W004,THINKING
37,09:05:39,5,W005,INITIALIZING
37,09:05:39,6,W006,THINKING
38,09:05:39,1,W001,THINKING
38,09:05:39,2,W002,THINKING
38,09:05:39,3,W003,THINKING
38,09:05:39,4,W004,THINKING
38,09:05:39,5,W005,INITIALIZING
38,09:05:39,6,W006,THINKING
39,09:05:39,1,W001,THINKING
39,09:05:39,2,W002,THINKING
39,09:05:39,3,W003,THINKING
39,09:05:39,4,W004,THINKING
39,09:05:39,5,W005,INITIALIZING
39,09:05:39,6,W006,THINKING
40,09:05:39,1,W001,THINKING
40,09:05:39,2,W002,THINKING
40,09:05:39,3,W003,THINKING
40,09:05:39,4,W004,THINKING
40,09:05:39,5,W005,INITIALIZING
40,09:05:39,6,W006,THINKING
41,09:05:39,1,W001,THINKING
41,09:05:39,2,W002,THINKING
41,09:05:39,3,W003,THINKING
41,09:05:39,4,W004,THINKING
41,09:05:39,5,W005,INITIALIZING
41,09:05:39,6,W006,THINKING
42,09:05:39,1,W001,THINKING
42,09:05:39,2,W002,THINKING
42,09:05:39,3,W003,THINKING
42,09:05:39,4,W004,THINKING
42,09:05:39,5,W005,INITIALIZING
42,09:05:39,6,W006,THINKING
43,09:05:39,1,W001,THINKING
43,09:05:39,2,W002,THINKING
43,09:05:39,3,W003,THINKING
43,09:05:39,4,W004,THINKING
43,09:05:39,5,W005,INITIALIZING
43,09:05:39,6,W006,THINKING
44,09:05:39,1,W001,THINKING
44,09:05:39,2,W002,THINKING
44,09:05:39,3,W003,THINKING
44,09:05:39,4,W004,THINKING
44,09:05:39,5,W005,INITIALIZING
44,09:05:39,6,W006,THINKING
45,09:05:39,1,W001,THINKING
45,09:05:39,2,W002,THINKING
45,09:05:39,3,W003,THINKING
45,09:05:39,4,W004,THINKING
45,09:05:39,5,W005,INITIALIZING
45,09:05:39,6,W006,THINKING
46,09:05:39,1,W001,THINKING
46,09:05:39,2,W002,THINKING
46,09:05:39,3,W003,THINKING
46,09:05:39,4,W004,THINKING
46,09:05:39,5,W005,INITIALIZING
46,09:05:39,6,W006,THINKING
47,09:05:39,1,W001,THINKING
47,09:05:39,2,W002,THINKING
47,09:05:39,3,W003,THINKING
47,09:05:39,4,W004,THINKING
47,09:05:39,5,W005,INITIALIZING
47,09:05:39,6,W006,THINKING
48,09:05:40,1,W001,THINKING
48,09:05:40,2,W002,THINKING
48,09:05:40,3,W003,THINKING
48,09:05:40,4,W004,THINKING
48,09:05:40,5,W005,INITIALIZING
48,09:05:40,6,W006,THINKING
49,09:05:40,1,W001,THINKING
49,09:05:40,2,W002,THINKING
49,09:05:40,3,W003,THINKING
49,09:05:40,4,W004,THINKING
49,09:05:40,5,W005,INITIALIZING
49,09:05:40,6,W006,THINKING
50,09:05:40,1,W001,THINKING
50,09:05:40,2,W002,THINKING
50,09:05:40,3,W003,THINKING
50,09:05:40,4,W004,THINKING
50,09:05:40,5,W005,INITIALIZING
50,09:05:40,6,W006,THINKING
51,09:05:40,1,W001,THINKING
51,09:05:40,2,W002,THINKING
51,09:05:40,3,W003,THINKING
51,09:05:40,4,W004,THINKING
51,09:05:40,5,W005,INITIALIZING
51,09:05:40,6,W006,THINKING
52,09:05:40,1,W001,THINKING
52,09:05:40,2,W002,THINKING
52,09:05:40,3,W003,THINKING
52,09:05:40,4,W004,THINKING
52,09:05:40,5,W005,INITIALIZING
52,09:05:40,6,W006,THINKING
53,09:05:40,1,W001,THINKING
53,09:05:40,2,W002,THINKING
53,09:05:40,3,W003,THINKING
53,09:05:40,4,W004,THINKING
53,09:05:40,5,W005,INITIALIZING
53,09:05:40,6,W006,THINKING
54,09:05:40,1,W001,THINKING
54,09:05:40,2,W002,THINKING
54,09:05:40,3,W003,THINKING
54,09:05:40,4,W004,THINKING
54,09:05:40,5,W005,INITIALIZING
54,09:05:40,6,W006,THINKING
55,09:05:40,1,W001,THINKING
55,09:05:40,2,W002,THINKING
55,09:05:40,3,W003,THINKING
55,09:05:40,4,W004,THINKING
55,09:05:40,5,W005,INITIALIZING
55,09:05:40,6,W006,THINKING
56,09:05:40,1,W001,THINKING
56,09:05:40,2,W002,THINKING
56,09:05:40,3,W003,THINKING
56,09:05:40,4,W004,THINKING
56,09:05:40,5,W005,INITIALIZING
56,09:05:40,6,W006,THINKING
57,09:05:40,1,W001,THINKING
57,09:05:40,2,W002,THINKING
57,09:05:40,3,W003,THINKING
57,09:05:40,4,W004,THINKING
57,09:05:40,5,W005,INITIALIZING
57,09:05:40,6,W006,THINKING
58,09:05:40,1,W001,THINKING
58,09:05:40,2,W002,THINKING
58,09:05:40,3,W003,THINKING
58,09:05:40,4,W004,THINKING
58,09:05:40,5,W005,INITIALIZING
58,09:05:40,6,W006,THINKING
59,09:05:40,1,W001,THINKING
59,09:05:40,2,W002,THINKING
59,09:05:40,3,W003,THINKING
59,09:05:40,4,W004,THINKING
59,09:05:40,5,W005,INITIALIZING
59,09:05:40,6,W006,THINKING
60,09:05:40,1,W001,THINKING
60,09:05:40,2,W002,THINKING
60,09:05:40,3,W003,THINKING
60,09:05:40,4,W004,THINKING
60,09:05:40,5,W005,INITIALIZING
60,09:05:40,6,W006,THINKING
61,09:05:40,1,W001,THINKING
61,09:05:40,2,W002,THINKING
61,09:05:40,3,W003,THINKING
61,09:05:40,4,W004,THINKING
61,09:05:40,5,W005,INITIALIZING
61,09:05:40,6,W006,THINKING
62,09:05:40,1,W001,THINKING
62,09:05:40,2,W002,THINKING
62,09:05:40,3,W003,THINKING
62,09:05:40,4,W004,THINKING
62,09:05:40,5,W005,INITIALIZING
62,09:05:40,6,W006,THINKING
63,09:05:40,1,W001,THINKING
63,09:05:40,2,W002,THINKING
63,09:05:40,3,W003,THINKING
63,09:05:40,4,W004,THINKING
63,09:05:40,5,W005,INITIALIZING
63,09:05:40,6,W006,THINKING
64,09:05:40,1,W001,THINKING
64,09:05:40,2,W002,THINKING
64,09:05:40,3,W003,THINKING
64,09:05:40,4,W004,THINKING
64,09:05:40,5,W005,INITIALIZING
64,09:05:40,6,W006,THINKING
65,09:05:40,1,W001,THINKING
65,09:05:40,2,W002,THINKING
65,09:05:40,3,W003,THINKING
65,09:05:40,4,W004,THINKING
65,09:05:40,5,W005,INITIALIZING
65,09:05:40,6,W006,THINKING
66,09:05:40,1,W001,THINKING
66,09:05:40,2,W002,THINKING
66,09:05:40,3,W003,THINKING
66,09:05:40,4,W004,THINKING
66,09:05:40,5,W005,INITIALIZING
66,09:05:40,6,W006,THINKING
67,09:05:40,1,W001,THINKING
67,09:05:40,2,W002,THINKING
67,09:05:40,3,W003,THINKING
67,09:05:40,4,W004,THINKING
67,09:05:40,5,W005,INITIALIZING
67,09:05:40,6,W006,THINKING
68,09:05:40,1,W001,THINKING
68,09:05:40,2,W002,THINKING
68,09:05:40,3,W003,THINKING
68,09:05:40,4,W004,THINKING
68,09:05:40,5,W005,INITIALIZING
68,09:05:40,6,W006,THINKING
69,09:05:40,1,W001,THINKING
69,09:05:40,2,W002,THINKING
69,09:05:40,3,W003,THINKING
69,09:05:40,4,W004,THINKING
69,09:05:40,5,W005,INITIALIZING
69,09:05:40,6,W006,THINKING
70,09:05:40,1,W001,THINKING
70,09:05:40,2,W002,THINKING
70,09:05:40,3,W003,THINKING
70,09:05:40,4,W004,THINKING
70,09:05:40,5,W005,INITIALIZING
70,09:05:40,6,W006,THINKING
71,09:05:40,1,W001,THINKING
71,09:05:40,2,W002,THINKING
71,09:05:40,3,W003,THINKING
71,09:05:40,4,W004,THINKING
71,09:05:40,5,W005,INITIALIZING
71,09:05:40,6,W006,THINKING
72,09:05:41,1,W001,THINKING
72,09:05:41,2,W002,THINKING
72,09:05:41,3,W003,THINKING
72,09:05:41,4,W004,THINKING
72,09:05:41,5,W005,INITIALIZING
